FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-20 16:00:00,Solo daños,Choque,0,0,1,10.9715729,-74.7825809
2015-01-20 17:10:00,Solo daños,Choque,0,0,1,10.9530626,-74.7938546
2015-01-20 17:30:00,Solo daños,Choque,0,0,1,10.9953478,-74.8066785
2015-01-20 06:20:00,Con heridos,Choque,2,0,1,10.9568162,-74.7954784
2015-01-20 18:40:00,Solo daños,Choque,0,0,1,10.9877153,-74.7897754
2015-01-20 08:15:00,Solo daños,Choque,0,0,1,10.9612996,-74.7932724
2015-01-20 20:20:00,Con heridos,Choque,2,0,1,11.0145774,-74.8275383
2015-01-20 21:30:00,Solo daños,Choque,0,0,1,10.9581986,-74.8243123
2015-01-20 09:40:00,Solo daños,Choque,0,0,1,11.0170531,-74.79611659999999
2015-01-20 10:00:00,Solo daños,Choque,0,0,1,10.9745164,-74.810198
2015-01-20 10:45:00,Solo daños,Choque,0,0,1,11.0143421,-74.8360673
2015-01-21 15:00:00,Solo daños,Choque,0,0,1,10.9695664,-74.79523499999999
2015-01-21 15:10:00,Solo daños,Choque,0,0,1,10.9702965,-74.7730274
2015-01-21 15:20:00,Solo daños,Choque,0,0,1,10.9830068,-74.7863393
2015-01-21 16:00:00,Solo daños,Choque,0,0,1,10.8920125,-74.8223564
2015-01-21 07:00:00,Solo daños,Choque,0,0,1,10.9532657,-74.7739469
2015-01-21 19:10:00,Solo daños,Choque,0,0,1,11.0332643,-74.8309547
2015-01-21 19:15:00,Solo daños,Choque,0,0,1,11.004304,-74.8081282
2015-01-21 07:20:00,Solo daños,Choque,0,0,1,10.9024985,-74.79092969999999
2015-01-21 08:00:00,Solo daños,Choque,0,0,1,10.9812108,-74.79263569999999
2015-01-21 20:00:00,Con muertos,Atropello,0,1,1,10.9567268,-74.7859185
2015-01-21 08:10:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-21 08:30:00,Solo daños,Choque,0,0,1,10.9280009,-74.8025874
2015-01-21 09:30:00,Solo daños,Choque,0,0,1,10.9912829,-74.8226074
